Name of contributor and date uploaded,Date of event (M/D/YYYY),Source,Citation (MLA),Violation,Summary,Notes,Classification,
,6/14/2026,Kash Patel Keeps Suing the Press - NYT,"Wemple, Erik. ""Kash Patel Keeps Suing the Press."" The New York Times, 14 June 2026. https://www.nytimes.com/2026/06/14/business/media/kash-patel-defamation-lawsuits.html",Legal experts cited in the article maintain that public officials suing news outlets for defamation or libel is unprecedented in modern American democracy and makes it difficult and costly for news outlets to publish unfavorable reporting on public officials. ,"Since 2019, now FBI Director Kash Patel has sued various new outlets, objecting to their unfavorable reporting. Several lawsuits have been filed since he took office as FBI Director. Patel has not yet reached a settlement or favorable jury verdict in any of the cases.",,Norm Violation,
,6/17/2026,"DOJ charges 15 in Minnesota with conspiracy to block ICE, claims antifa ties - WaPo","Hennessy-Fiske, Molly. ""DOJ charges 15 in Minnesota with conspiracy to block ICE, claims antifa ties."" The Washington Post, 17 June 2026. https://www.washingtonpost.com/nation/2026/06/16/doj-charges-15-minnesotans-with-conspiracy-block-ice-claims-antifa-ties/","Carl Tobias, a law professor in the article, believes the case to be pretty thin and could potentially threaten First Amendment protections of free speech. ","Federal prosecutors in Minnesota announced charges against 15 people in Minneapolis for ""conspiring to impede or injure federal officers."" Five of the 15 were charged with additional offenses. The allegations stem from activity during the Trump administration's immigration operations in Minneapolis this year. ",,Social Contradiction,
,4/6/2026,Trump threatens to jail reporters if they don’t turn over Iran source - WaPo,"Nover, Scott. ""Trump threatens to jail reporters if they don’t turn over Iran source."" The Washington Post, 6 April 2026. https://www.washingtonpost.com/business/2026/04/06/trump-leak-missing-pilot-jail-threat-media/","Although it is unclear if substantive action has been taken against the outlet, the President's comments seem to violate democratic norms regarding respect for a free press. A free press is a fundamental civil society actor in a functioning democracy.","During a press briefing, President Trump threatened to force a news organization to turn over the name of an anonymous source under the penalty of imprisonment: ""So whoever it was, we think we’ll be able to find it out because we’re going to go to the media company that released it, and we’re going to say, national security, give it up or go to jail.” The President did not say which outlet he was referring to. ",,Norm Violation,
,4/22/2026,F.B.I. Said to Have Investigated Times Reporter After Article on Patel’s Girlfriend - NYT,"Schmidt, Michael S. ""F.B.I. Said to Have Investigated Times Reporter After Article on Patel’s Girlfriend."" The New York Times, 22 April 2026. https://www.nytimes.com/2026/04/22/us/politics/fbi-times-reporter.html","According to the article, some Department of Justice officials saw the inquiry as retaliation against the report and lacking a legal basis. Investigating reporters to intimidate them from writing unfriendly articles would violate democratic norms regarding freedom and respect for the Press.  ","The FBI began investigating Elizabeth Williamson, a New York Times reporter who wrote an article about Kash Patel using FBI personnel for his girlfriend's security and transportation. Agents interviewed Patel's girlfriend and queried databases for information on the reporter, and recommended further efforts to determine whether Williamson broke federal stalking laws. The FBI told the Times that they were not pursuing a case.",,Norm Violation,
,4/28/2026,James Comey Is Charged With Threatening Trump in Seashell Photo - WSJ,"Gurman, Sadie and C. Ryan Barber. ""James Comey Is Charged With Threatening Trump in Seashell Photo."" The Wall Street Journal, 28 April 2026. https://www.wsj.com/us-news/law/justice-department-secures-a-new-indictment-against-james-comey-49a382f6","The indictment is part of an unprecedented effort to target political adversaries and may violate the US Consitution's protections on free speech and equal protection under the law. At the very least, it violates democratic norms against attempting to ensure an apolitical justice system. ","The Department of Justice indicted former FBI Director James Comey with making a threat against President Trump and transmitting an interstate communication threatening to kill him. The charges stem from a picture Comey posted on Instagram showing seashells arranged in numbers ""86 47."" ",,Norm Violation,
,4/24/2026,The ‘Lasting Damage’ of Pirro’s Abandoned Fed Investigation - NYT,"Smith, Colby, and Tony Romm. ""The ‘Lasting Damage’ of Pirro’s Abandoned Fed Investigation."" The New York Times, 24 April 2026. https://www.nytimes.com/2026/04/24/us/politics/federal-reserve-powell-pirro-investigation.html","President Trump has attempted to expand his power by pressuring the Federal Reserve, attempting to weaponize the criminal justice system and compromizing its apolitical nature.  ","President Trump has undertaken an effort to pressure the Federal Reserve since taking office, including a criminal investigation into the Reserve and its chair, Jerome Powell, and efforts to oust Fed Governor Lisa Cook. US Attorney for the District of Columbia Jeanine Pirro dropped the criminal investigation, but confidence in the Fed's independence remains shaken. ",,Norm Violation,
,5/5/2026,"U.S. agency sues New York Times, accusing it of bias against White male employee - WaPo","Nover, Scott. ""U.S. agency sues New York Times, accusing it of bias against White male employee."" The Washington Post, 5 May 2026. https://www.washingtonpost.com/business/2026/05/05/eeoc-lawsuit-nytimes-discrimination/","The New York Times has previously reported that staffers at the EEOC are under pressure to bring cases in furtherance of Trump's political agenda. Since taking office, President Trump has sued the New York Times himself and taken other actions to harm journalistic freedom. This lawsuit has questionable motives and may be a part of a larger campaign to pressure journalists. ","The Equal Employment Opportunity Commission sued the New York Times, alleging that it violated federal law by passing over a white male for a promotion. The lawsuit argues that the news organization violated Title VII of the Civil Rights Act of 1964 and Title I of the Civil Rights Act of 1991. ",,Norms Violation,
,6/23/2026,"DOJ issued subpoenas to force Post, WSJ reporters to testify before grand jury - WaPo","Stein, Perry. ""DOJ issued subpoenas to force Post, WSJ reporters to testify before grand jury."" The Washington Post, 23 June 2026. https://www.washingtonpost.com/national-security/2026/06/23/doj-issued-then-withdrew-subpoenas-force-post-wsj-reporters-testify/","A news organization successfully challenged the subpoenas. Journalists rarely testify in legal proceedings. While it is not entirely unprecedented for journalists to testify, the number of subpoenas sought against journalists by the second Trump administration is notable. ","The Justice Department sought subpoenas for Washington Post reporter Ellen Nakashima and three Wall Street Journal reporters, but withdrew the subpoenas after they were challenged by the news organizations. The subpoenas were related to national security matters.  ",,Norms Violation,
,5/27/2026,Justice Dept. Is Said to Open Criminal Inquiry of E. Jean Carroll Over Trump Lawsuits - NYT,"Thrush, Glenn and Benjamin Weiser. ""Justice Dept. Is Said to Open Criminal Inquiry of E. Jean Carroll Over Trump Lawsuits."" The New York Times, 27 May 2026. https://www.nytimes.com/2026/05/27/us/politics/criminal-inquiry-e-jean-carroll-trump-accusations.html","As the article discusses, this appears to be the next chapter of Trump's retributive campaign, which has seen investigations of many high-profile Trump critics. No modern administration has pursued this aggressive a legal campaign against critics, and the campaign threatens to stifle dissent among civil society. ","According to two anonymous sources, the Justice Department has opened a criminal investigation into E. Jean Carroll, a former magazine writer who won a $5 million civil judgment against President Trump for sexually abusing her and defaming her. The investigation was reportedly opened by Andrew S. Boutros, the US Attorney for the Northern District of Illinois. ",,Norms Violation,
,5/28/2026,DOJ probes Democratic-allied nonprofit that helped pay E. Jean Carroll’s legal bills - WaPo,"Stein, Perry. ""DOJ probes Democratic-allied nonprofit that helped pay E. Jean Carroll’s legal bills."" The Washington Post, 28 May 2026. https://www.washingtonpost.com/national-security/2026/05/28/doj-probes-reid-hoffmans-nonprofit-funding-e-jean-carrolls-legal-bills/","As the article writes, the Justice Department has investigated many of Trump's political and personal critics, diminishing the Department's longstanding independence and hurting the capacity of civil society to dissent. ","The Department of Justice has launched a criminal probe into a Chicago-based nonprofit over its payment of legal bills of E. Jean Carroll, a magazine writer who accused President Trump of sexual abuse and won a $5 million civil judgment against him. The investigation stems from a 2022 deposition, where Carroll testified that outsider funders were not helping her bring the lawsuit, when it later became public that the nonprofit American Future Republic had paid some of her legal bills. In 2024, a panel of appellate judges ruled that it was plausibel she had forgotten the funding when she testified. ",,Norms Violation,
,6/26/2026,Yale Seeks Trump Administration Deal as It Faces Sprawling Investigation - NYT,"Schmidt, Michael S. et al. ""Yale Seeks Trump Administration Deal as It Faces Sprawling Investigation."" The New York Times, 26 June 2026. https://www.nytimes.com/2026/06/26/us/politics/yale-trump-administration-admissions-race.html","As the article adds, the investigation and potential settlement are part of the Trump administration's pressure campaign against elite universities. Higher-education institutions serve an integral role in democracy by serving as grounds for political discourse and historical recordkeeping. Their independence has long been respected in America, and a settlement is noteworthy.  ",Yale University is reportedly pursuing a settlement with the US Government over the Trump administration's investigation into whether Yale University's admissions practices violate anti-discrimination laws. The Justice Department accused Yale Medical School of illegally giving preferential treatment to Black and Hispanic applicants. Sources say Yale has offered a potential agreement to the government. ,,Norms Violation,
